regime,g,dt,cpu_s,M_final,max_mass_err,E0,ET,E_diff
linear,0.0,0.01,0.32270496000001003,1.0000000000000502,5.040412531798211e-14,2.7,2.700000081625755,8.162575504400138e-08
linear,0.0,0.04,0.046914870999898994,1.0000000000000133,1.354472090042691e-14,2.7,2.7000013060555106,1.3060555104082994e-06
linear,0.0,0.08,0.025708038999937344,1.0000000000000058,5.995204332975845e-15,2.7,2.7000052248125717,5.224812571480442e-06
nonlinear,50.0,0.01,0.19602807700016456,1.0000000000000606,6.084022174945858e-14,6.678873577297383,6.6798432844407944,0.0009697071434118243
nonlinear,50.0,0.04,0.05885900199996286,1.0000000000000155,1.5765166949677223e-14,6.678873577297383,6.694771544018136,0.015897966720753054
nonlinear,50.0,0.08,0.023708710999926552,1.0000000000000075,7.771561172376096e-15,6.678873577297383,6.755530365412499,0.07665678811511611
